wavelength (um)	H2O	CO2	NH3	CH4
2.5	0.48224	0.49885	0.47	0.48595
2.51	0.48221	0.49844	0.47	0.48172
2.52	0.48219	0.49812	0.47209	0.47567
2.53	0.48233	0.49716	0.47845	0.46614
2.54	0.48248	0.49552	0.4848	0.45143
2.55	0.48263	0.4928	0.49116	0.44618
2.56	0.48302	0.48885	0.49193	0.44003
2.57	0.48334	0.48292	0.48857	0.2272
2.58	0.4836	0.46933	0.48109	0.45775
2.59	0.48366	0.44044	0.47034	0.45427
2.6	0.48359	0.39433	0.46485	0.023697
2.61	0.48321	0.331	0.46254	0.47808
2.62	0.48283	0.29068	0.46022	0.4976
2.63	0.48101	0.27898	0.46311	0.49978
2.64	0.47919	0.29631	0.46599	0.5
2.65	0.47737	0.2895	0.46887	0.5
2.66	0.47556	0.26916	0.47176	0.5
2.67	0.47374	0.26901	0.47464	0.5
2.68	0.46936	0.26879	0.47733	0.4995
2.69	0.46243	0.26827	0.47981	0.5
2.7	0.45549	0.27318	0.48229	0.4995
2.71	0.44856	0.27099	0.48477	0.49992
2.72	0.44162	0.27321	0.48725	0.4995
2.73	0.43146	0.27009	0.48861	0.4995
2.74	0.41808	0.26973	0.48883	0.4995
2.75	0.40469	0.26948	0.48906	0.499
2.76	0.3913	0.26948	0.48928	0.499
2.77	0.37792	0.26918	0.48951	0.49879
2.78	0.36331	0.27266	0.48996	0.4985
2.79	0.34378	0.29196	0.49134	0.4985
2.8	0.32426	0.28441	0.49272	0.498
2.81	0.30474	0.33304	0.49409	0.4975
2.82	0.28182	0.40053	0.48881	0.49715
2.83	0.25095	0.40198	0.46801	0.49685
2.84	0.23074	0.41358	0.43845	0.49606
2.85	0.2171	0.3969	0.40748	0.4955
2.86	0.22135	0.42762	0.39767	0.49451
2.87	0.22832	0.45948	0.39182	0.49197
2.88	0.23802	0.48631	0.38993	0.493
2.89	0.24517	0.49283	0.38748	0.49225
2.9	0.25137	0.48703	0.38461	0.491
2.91	0.2548	0.49506	0.37926	0.48956
2.92	0.25742	0.49603	0.37028	0.48806
2.93	0.25922	0.49689	0.35767	0.48569
2.94	0.26031	0.49707	0.29731	0.48378
2.95	0.26109	0.49772	0.21647	0.48184
2.96	0.26213	0.49844	0.25636	0.47902
2.97	0.26325	0.49887	0.28114	0.47574
2.98	0.26453	0.49908	0.2707	0.47213
2.99	0.26593	0.49907	0.26422	0.46747
3	0.26743	0.49393	0.26172	0.46194
3.01	0.26888	0.46508	0.26064	0.45614
3.02	0.2703	0.49899	0.26017	0.44929
3.03	0.27158	0.49894	0.25957	0.44215
3.04	0.27285	0.49908	0.25895	0.43281
3.05	0.27387	0.49899	0.2601	0.42154
3.06	0.27463	0.49866	0.26255	0.40814
3.07	0.27436	0.49874	0.27019	0.39148
3.08	0.2739	0.49862	0.27737	0.37584
3.09	0.27301	0.49856	0.2835	0.34605
3.1	0.27207	0.49851	0.28404	0.30977
3.11	0.27106	0.49857	0.27619	0.26864
3.12	0.27025	0.4986	0.27698	0.22333
3.13	0.26966	0.49794	0.28642	0.17661
3.14	0.26912	0.49609	0.30751	0.13084
3.15	0.26864	0.49851	0.34023	0.0888
3.16	0.26809	0.4984	0.37063	0.054026
3.17	0.26747	0.49641	0.3987	0.028563
3.18	0.26677	0.49789	0.42017	0.012754
3.19	0.26599	0.49737	0.43505	0.0045167
3.2	0.26517	0.49628	0.44764	0.0012161
3.21	0.26433	0.49467	0.45792	0.00023063
3.22	0.26356	0.49303	0.46193	5.7195e-05
3.23	0.26286	0.49194	0.45966	1.3204e-05
3.24	0.26223	0.49168	0.44962	1.1531e-06
3.25	0.2617	0.49146	0.42792	3.5658e-08
3.26	0.26117	0.49094	0.40849	4.1522e-10
3.27	0.26063	0.49127	0.39432	3.6044e-13
3.28	0.26011	0.48788	0.38187	6.1158e-14
3.29	0.25975	0.48151	0.38485	4.7069e-13
3.3	0.25939	0.46721	0.38782	1.7544e-16
3.31	0.25935	0.44214	0.39245	2.5879e-38
3.32	0.25931	0.41	0.39709	0
3.33	0.25967	0.38396	0.39863	6.4125e-50
3.34	0.26013	0.43071	0.39941	2.2184e-11
3.35	0.26106	0.48754	0.3995	1.2985e-06
3.36	0.26246	0.49576	0.39891	0.0001385
3.37	0.26416	0.49618	0.39838	0.0010784
3.38	0.26654	0.49573	0.398	0.0038705
3.39	0.26891	0.49447	0.39761	0.0080237
3.4	0.27227	0.49192	0.39799	0.012581
3.41	0.27562	0.49526	0.39836	0.01977
3.42	0.27987	0.49597	0.39919	0.027364
3.43	0.28449	0.49631	0.40021	0.037814
3.44	0.28956	0.49639	0.4023	0.039904
3.45	0.29528	0.49633	0.40601	0.031157
3.46	0.301	0.49594	0.40971	0.03245
3.47	0.30747	0.49611	0.42315	0.030991
3.48	0.31395	0.49682	0.43658	0.026085
3.49	0.32041	0.49748	0.44705	0.020738
3.5	0.32686	0.49703	0.45554	0.017723
